DATE,DGS1,DGS2,DGS5,DGS10
5/25/15,.,.,.,4.09
5/26/15,0.24,0.64,1.54,4.09
5/27/15,0.27,0.64,1.53,4.09
5/28/15,0.26,0.62,1.51,4.09
5/29/15,0.26,0.61,1.49,4.09
6/1/15,0.26,0.64,1.55,4.09
6/2/15,0.26,0.64,1.61,4.08
6/3/15,0.26,0.69,1.69,4.08
6/4/15,0.27,0.66,1.65,4.07
6/5/15,0.29,0.73,1.75,4.07
6/8/15,0.27,0.7,1.72,4.08
6/9/15,0.27,0.72,1.74,4.08
6/10/15,0.28,0.75,1.8,4.08
6/11/15,0.28,0.73,1.74,4.07
6/12/15,0.28,0.74,1.75,4.07
6/15/15,0.28,0.72,1.71,4.07
6/16/15,0.28,0.71,1.68,4.07
6/17/15,0.27,0.67,1.63,4.07
6/18/15,0.26,0.66,1.65,4.08
6/19/15,0.25,0.65,1.59,4.08
6/22/15,0.27,0.68,1.68,4.09
6/23/15,0.3,0.7,1.71,4.1
6/24/15,0.3,0.68,1.69,4.1
6/25/15,0.29,0.68,1.7,4.1
6/26/15,0.29,0.72,1.75,4.1
6/29/15,0.27,0.64,1.62,4.11
6/30/15,0.28,0.64,1.63,4.11
7/1/15,0.28,0.69,1.7,4.12
7/2/15,0.26,0.64,1.64,4.12
7/3/15,.,.,.,4.12
7/6/15,0.26,0.6,1.56,4.11
7/7/15,0.25,0.58,1.55,4.12
7/8/15,0.24,0.55,1.5,4.11
7/9/15,0.25,0.6,1.58,4.12
7/10/15,0.28,0.65,1.68,4.12
7/13/15,0.28,0.69,1.71,4.13
7/14/15,0.27,0.66,1.67,4.14
7/15/15,0.28,0.64,1.63,4.15
7/16/15,0.29,0.67,1.66,4.15
7/17/15,0.29,0.68,1.67,4.15
7/20/15,0.31,0.71,1.72,.
7/21/15,0.34,0.71,1.69,4.17
7/22/15,0.34,0.75,1.69,4.17
7/23/15,0.33,0.71,1.65,4.16
7/24/15,0.32,0.7,1.64,.
7/27/15,0.32,0.68,1.58,4.16
7/28/15,0.32,0.69,1.61,4.15
7/29/15,0.33,0.7,1.62,4.12
7/30/15,0.36,0.72,1.62,4.11
7/31/15,0.33,0.67,1.54,4.11
8/3/15,0.33,0.68,1.52,4.1
8/4/15,0.37,0.74,1.6,4.09
8/5/15,0.38,0.73,1.65,4.1
8/6/15,0.35,0.71,1.62,4.09
8/7/15,0.38,0.73,1.59,.
8/10/15,0.4,0.73,1.62,4.08
8/11/15,0.37,0.68,1.53,4.08
8/12/15,0.37,0.67,1.52,.
8/13/15,0.4,0.72,1.58,4.08
8/14/15,0.41,0.73,1.61,4.09
8/17/15,0.4,0.72,1.58,4.1
8/18/15,0.42,0.74,1.6,4.1
8/19/15,0.39,0.67,1.5,4.11
8/20/15,0.39,0.69,1.5,4.11
8/21/15,0.36,0.64,1.44,4.1
8/24/15,0.33,0.59,1.39,4.1
8/25/15,0.36,0.67,1.48,4.12
8/26/15,0.35,0.67,1.49,4.12
8/27/15,0.36,0.68,1.49,4.13
8/28/15,0.38,0.72,1.52,4.15
8/31/15,0.39,0.74,1.54,4.15
9/1/15,0.39,0.7,1.49,4.15
9/2/15,0.37,0.72,1.52,4.14
9/3/15,0.36,0.71,1.49,4.15
9/4/15,0.36,0.71,1.47,4.15
9/7/15,.,.,.,4.15
9/8/15,0.39,0.74,1.53,.
9/9/15,0.39,0.75,1.53,4.15
9/10/15,0.39,0.75,1.55,4.15
9/11/15,0.4,0.71,1.52,4.14
9/14/15,0.4,0.73,1.51,4.14
9/15/15,0.47,0.82,1.61,.
9/16/15,0.46,0.82,1.62,4.14
9/17/15,0.39,0.7,1.5,4.15
9/18/15,0.35,0.69,1.45,4.16
9/21/15,0.36,0.72,1.51,4.15
9/22/15,0.35,0.69,1.44,4.18
9/23/15,0.34,0.7,1.47,4.18
9/24/15,0.32,0.67,1.44,4.18
9/25/15,0.35,0.7,1.48,4.18
9/28/15,0.34,0.67,1.42,4.18
9/29/15,0.33,0.64,1.37,4.18
9/30/15,0.33,0.64,1.37,4.17
10/1/15,0.31,0.64,1.37,4.17
10/2/15,0.25,0.58,1.29,4.16
10/5/15,0.26,0.61,1.35,4.16
10/6/15,0.26,0.61,1.34,4.16
10/7/15,0.27,0.65,1.37,4.16
10/8/15,0.27,0.65,1.4,4.18
10/9/15,0.28,0.65,1.41,4.18
10/12/15,.,.,.,4.17
10/13/15,0.27,0.64,1.36,4.17
10/14/15,0.21,0.57,1.29,4.16
10/15/15,0.22,0.61,1.34,4.15
10/16/15,0.23,0.61,1.36,4.15
10/19/15,0.23,0.61,1.35,4.15
10/20/15,0.23,0.66,1.4,4.15
10/21/15,0.23,0.64,1.37,4.14
10/22/15,0.23,0.61,1.36,4.14
10/23/15,0.24,0.66,1.43,4.14
10/26/15,0.25,0.66,1.41,4.14
10/27/15,0.29,0.65,1.38,.
10/28/15,0.33,0.73,1.47,4.13
10/29/15,0.33,0.75,1.53,4.13
10/30/15,0.34,0.75,1.52,4.13
11/2/15,0.37,0.77,1.57,4.14
11/3/15,0.39,0.8,1.59,4.14
11/4/15,0.4,0.84,1.64,4.14
11/5/15,0.42,0.85,1.65,.
11/6/15,0.47,0.9,1.73,4.15
11/9/15,0.47,0.89,1.75,4.15
11/10/15,0.51,0.87,1.72,4.15
11/11/15,.,.,.,4.17
11/12/15,0.51,0.89,1.73,4.18
11/13/15,0.5,0.86,1.67,4.17
11/16/15,0.5,0.88,1.66,4.18
11/17/15,0.5,0.86,1.66,4.19
11/18/15,0.49,0.9,1.69,4.19
11/19/15,0.49,0.91,1.68,4.19
11/20/15,0.49,0.93,1.7,4.2
11/23/15,0.5,0.94,1.7,4.2
11/24/15,0.52,0.93,1.66,4.21
11/25/15,0.52,0.93,1.66,4.21
11/26/15,.,.,.,4.22
11/27/15,0.5,0.92,1.64,4.21
11/30/15,0.51,0.94,1.65,4.22
12/1/15,0.51,0.91,1.59,4.23
12/2/15,0.52,0.94,1.63,4.24
12/3/15,0.57,0.96,1.74,4.25
12/4/15,0.6,0.96,1.71,4.25
12/7/15,0.67,0.94,1.67,4.26
12/8/15,0.76,0.94,1.68,4.26
12/9/15,0.72,0.93,1.64,4.25
12/10/15,0.71,0.95,1.68,.
12/11/15,0.68,0.88,1.56,4.25
12/14/15,0.68,0.97,1.66,4.23
12/15/15,0.69,0.98,1.71,4.23
12/16/15,0.7,1.02,1.75,4.24
12/17/15,0.69,1,1.73,4.25
12/18/15,0.67,0.97,1.67,4.25
12/21/15,0.64,0.96,1.67,4.25
12/22/15,0.66,0.99,1.71,4.22
12/23/15,0.65,1.01,1.74,4.22
12/24/15,0.64,1.03,1.73,4.22
12/25/15,.,.,.,4.23
12/28/15,0.66,1.05,1.73,4.24
12/29/15,0.67,1.09,1.81,4.23
12/30/15,0.64,1.08,1.8,4.23
12/31/15,0.65,1.06,1.76,4.24
1/1/16,.,.,.,4.24
1/4/16,0.61,1.02,1.73,4.23
1/5/16,0.68,1.04,1.73,4.23
1/6/16,0.67,0.99,1.65,4.23
1/7/16,0.66,0.96,1.61,4.23
1/8/16,0.64,0.94,1.57,4.23
1/11/16,0.63,0.94,1.58,4.23
1/12/16,0.62,0.93,1.55,4.22
1/13/16,0.6,0.91,1.51,4.22
1/14/16,0.55,0.9,1.52,4.22
1/15/16,0.49,0.85,1.46,4.22
1/18/16,.,.,.,4.22
1/19/16,0.48,0.88,1.49,4.22
1/20/16,0.43,0.85,1.44,4.22
1/21/16,0.44,0.84,1.44,4.2
1/22/16,0.47,0.88,1.49,4.19
1/25/16,0.47,0.88,1.47,4.19
1/26/16,0.47,0.85,1.45,4.19
1/27/16,0.47,0.84,1.43,4.19
1/28/16,0.47,0.83,1.4,4.19
1/29/16,0.47,0.76,1.33,4.19
2/1/16,0.47,0.81,1.38,4.19
2/2/16,0.54,0.75,1.28,4.2
2/3/16,0.54,0.72,1.27,4.2
2/4/16,0.52,0.7,1.25,4.2
2/5/16,0.55,0.74,1.25,4.19
2/8/16,0.51,0.66,1.16,4.19
2/9/16,0.52,0.69,1.15,4.2
2/10/16,0.52,0.71,1.15,4.19
2/11/16,0.47,0.64,1.11,.
2/12/16,0.51,0.71,1.2,4.19
2/15/16,.,.,.,4.19
2/16/16,0.51,0.74,1.23,4.19
2/17/16,0.53,0.74,1.26,4.19
2/18/16,0.53,0.71,1.21,4.18
2/19/16,0.53,0.76,1.24,4.18
2/22/16,0.55,0.78,1.25,4.17
2/23/16,0.55,0.76,1.23,4.17
2/24/16,0.55,0.75,1.21,4.18
2/25/16,0.56,0.72,1.16,4.18
2/26/16,0.6,0.8,1.23,4.18
2/29/16,0.62,0.78,1.22,4.18
3/1/16,0.68,0.85,1.31,4.18
3/2/16,0.67,0.85,1.34,4.17
3/3/16,0.65,0.85,1.33,4.16
3/4/16,0.67,0.88,1.38,4.15
