DATE,MVPHGFD027MNFRBDAL
2013-04-01,10708.9
2013-05-01,10446.9
2013-06-01,10276.6
2013-07-01,10219.2
2013-08-01,10155.7
2013-09-01,10180.4
2013-10-01,10347.0
2013-11-01,10355.0
2013-12-01,10296.3
2014-01-01,10320.2
2014-02-01,10476.2
2014-03-01,10530.2
2014-04-01,10406.5
2014-05-01,10481.5
2014-06-01,10464.8
2014-07-01,10498.8
2014-08-01,10625.0
2014-09-01,10592.5
2014-10-01,10702.0
2014-11-01,10824.7
2014-12-01,10902.1
2015-01-01,11082.8
2015-02-01,11031.1
2015-03-01,11068.6
2015-04-01,10983.6
2015-05-01,10930.3
2015-06-01,10865.6
2015-07-01,10980.2
2015-08-01,10922.6
2015-09-01,10985.2
2015-10-01,10893.7
2015-11-01,11381.1
2015-12-01,11445.9
2016-01-01,11572.0
2016-02-01,11788.5
2016-03-01,11939.3
2016-04-01,11834.5
2016-05-01,11844.0
2016-06-01,12065.9
2016-07-01,12145.6
2016-08-01,12162.7
2016-09-01,12236.1
2016-10-01,12241.9
2016-11-01,12141.9
2016-12-01,12123.9
2017-01-01,12073.2
2017-02-01,12124.6
2017-03-01,12077.9
2017-04-01,12039.6
2017-05-01,12058.1
2017-06-01,12099.6
2017-07-01,12093.9
2017-08-01,12192.1
2017-09-01,12405.6
2017-10-01,12454.6
2017-11-01,12603.5
2017-12-01,12529.6
2018-01-01,12387.6
2018-02-01,12659.6
2018-03-01,13028.6
2018-04-01,12858.6
2018-05-01,13022.3
2018-06-01,13077.2
2018-07-01,13141.5
2018-08-01,13431.3
