DATE,USPRIV
1989-08-01,90126
1989-09-01,90338
1989-10-01,90443
1989-11-01,90696
1989-12-01,90774
1990-01-01,91033
1990-02-01,91255
1990-03-01,91353
1990-04-01,91310
1990-05-01,91241
1990-06-01,91309
1990-07-01,91269
1990-08-01,91162
1990-09-01,91080
1990-10-01,90927
1990-11-01,90770
1990-12-01,90695
1991-01-01,90568
1991-02-01,90253
1991-03-01,90089
1991-04-01,89880
1991-05-01,89751
1991-06-01,89776
1991-07-01,89699
1991-08-01,89747
1991-09-01,89791
1991-10-01,89766
1991-11-01,89676
1991-12-01,89684
1992-01-01,89686
1992-02-01,89628
1992-03-01,89654
1992-04-01,89787
1992-05-01,89900
1992-06-01,89956
1992-07-01,89975
1992-08-01,90044
1992-09-01,90130
1992-10-01,90317
1992-11-01,90436
1992-12-01,90616
1993-01-01,90903
1993-02-01,91149
1993-03-01,91090
1993-04-01,91366
1993-05-01,91622
1993-06-01,91780
1993-07-01,91995
1993-08-01,92182
1993-09-01,92414
1993-10-01,92699
1993-11-01,92923
1993-12-01,93205
1994-01-01,93443
1994-02-01,93638
1994-03-01,94059
1994-04-01,94373
1994-05-01,94665
1994-06-01,94974
1994-07-01,95317
1994-08-01,95594
1994-09-01,95923
1994-10-01,96125
1994-11-01,96509
1994-12-01,96780
1995-01-01,97098
1995-02-01,97286
1995-03-01,97485
1995-04-01,97640
1995-05-01,97639
1995-06-01,97852
1995-07-01,97952
1995-08-01,98212
1995-09-01,98463
1995-10-01,98581
1995-11-01,98728
1995-12-01,98857
1996-01-01,98860
1996-02-01,99250
1996-03-01,99468
1996-04-01,99650
1996-05-01,99962
1996-06-01,100244
1996-07-01,100476
1996-08-01,100704
1996-09-01,100854
1996-10-01,101128
1996-11-01,101412
1996-12-01,101577
1997-01-01,101786
1997-02-01,102089
1997-03-01,102391
1997-04-01,102688
1997-05-01,102953
1997-06-01,103158
1997-07-01,103435
1997-08-01,103482
1997-09-01,103919
1997-10-01,104204
1997-11-01,104480
1997-12-01,104793
1998-01-01,105061
1998-02-01,105243
1998-03-01,105382
1998-04-01,105638
1998-05-01,105981
1998-06-01,106200
1998-07-01,106279
1998-08-01,106590
1998-09-01,106782
1998-10-01,106967
1998-11-01,107197
1998-12-01,107529
1999-01-01,107641
1999-02-01,107991
1999-03-01,108074
1999-04-01,108377
1999-05-01,108596
1999-06-01,108817
1999-07-01,109078
1999-08-01,109196
1999-09-01,109392
1999-10-01,109733
1999-11-01,109983
1999-12-01,110249
2000-01-01,110436
2000-02-01,110539
2000-03-01,110872
2000-04-01,111096
2000-05-01,110970
2000-06-01,111194
2000-07-01,111387
2000-08-01,111402
2000-09-01,111648
2000-10-01,111625
2000-11-01,111830
2000-12-01,111923
2001-01-01,111867
2001-02-01,111870
2001-03-01,111803
2001-04-01,111477
2001-05-01,111399
2001-06-01,111170
2001-07-01,111014
2001-08-01,110835
2001-09-01,110561
2001-10-01,110200
2001-11-01,109852
2001-12-01,109646
2002-01-01,109475
2002-02-01,109334
2002-03-01,109276
2002-04-01,109181
2002-05-01,109127
2002-06-01,109143
2002-07-01,109071
2002-08-01,109019
2002-09-01,108995
2002-10-01,109095
2002-11-01,109079
2002-12-01,108902
2003-01-01,108971
2003-02-01,108827
2003-03-01,108633
2003-04-01,108599
2003-05-01,108638
2003-06-01,108592
2003-07-01,108584
2003-08-01,108615
2003-09-01,108777
2003-10-01,108928
2003-11-01,108954
2003-12-01,109064
2004-01-01,109239
2004-02-01,109285
2004-03-01,109575
2004-04-01,109803
2004-05-01,110100
2004-06-01,110195
2004-07-01,110235
2004-08-01,110331
2004-09-01,110479
2004-10-01,110806
2004-11-01,110833
2004-12-01,110958
2005-01-01,111063
2005-02-01,111298
2005-03-01,111440
2005-04-01,111784
2005-05-01,111929
2005-06-01,112194
2005-07-01,112471
2005-08-01,112661
2005-09-01,112745
2005-10-01,112847
2005-11-01,113154
2005-12-01,113289
2006-01-01,113603
2006-02-01,113884
2006-03-01,114156
2006-04-01,114308
2006-05-01,114332
2006-06-01,114415
2006-07-01,114570
2006-08-01,114711
2006-09-01,114788
2006-10-01,114814
2006-11-01,115007
2006-12-01,115175
2007-01-01,115402
2007-02-01,115451
2007-03-01,115647
2007-04-01,115680
2007-05-01,115815
2007-06-01,115878
2007-07-01,115884
2007-08-01,115801
2007-09-01,115844
